time,mid_c
2003-03-21 18:00:00,895.3
2003-03-24 06:00:00,879.4
2003-03-24 10:00:00,877.9
2003-03-24 14:00:00,867.9
2003-03-24 18:00:00,864.4
2003-03-25 06:00:00,860.9
2003-03-25 10:00:00,864.4
2003-03-25 14:00:00,878.2
2003-03-25 18:00:00,874.2
2003-03-26 06:00:00,874.4
2003-03-26 10:00:00,873.4
2003-03-26 14:00:00,873.1
2003-03-26 18:00:00,869.6
2003-03-27 06:00:00,863.6
2003-03-27 10:00:00,861.4
2003-03-27 14:00:00,869.4
2003-03-27 18:00:00,868.9
2003-03-28 06:00:00,865.4
2003-03-28 10:00:00,863.6
2003-03-28 14:00:00,864.6
2003-03-28 18:00:00,863.9
2003-03-31 06:00:00,851.8
2003-03-31 10:00:00,851.0
2003-03-31 14:00:00,851.8
2003-03-31 18:00:00,845.5
2003-04-01 06:00:00,849.8
2003-04-01 10:00:00,852.0
2003-04-01 14:00:00,858.8
2003-04-01 18:00:00,858.8
2003-04-02 06:00:00,865.3
2003-04-02 10:00:00,871.8
2003-04-02 14:00:00,881.8
2003-04-02 18:00:00,879.3
2003-04-03 06:00:00,885.8
2003-04-03 10:00:00,887.8
2003-04-03 14:00:00,879.3
2003-04-03 18:00:00,874.8
2003-04-04 06:00:00,877.0
2003-04-04 10:00:00,883.3
2003-04-04 14:00:00,877.8
2003-04-04 18:00:00,879.8
2003-04-07 05:00:00,901.8
2003-04-07 09:00:00,900.5
2003-04-07 13:00:00,897.0
2003-04-07 17:00:00,877.7
2003-04-08 05:00:00,882.0
2003-04-08 09:00:00,882.5
2003-04-08 13:00:00,881.5
2003-04-08 17:00:00,879.4
2003-04-09 05:00:00,873.4
2003-04-09 09:00:00,878.2
2003-04-09 13:00:00,870.2
2003-04-09 17:00:00,867.7
2003-04-10 05:00:00,868.1
2003-04-10 09:00:00,869.4
2003-04-10 13:00:00,868.4
2003-04-10 17:00:00,873.1
2003-04-11 05:00:00,873.6
2003-04-11 09:00:00,880.9
2003-04-11 13:00:00,869.9
2003-04-11 17:00:00,869.6
2003-04-14 05:00:00,871.3
2003-04-14 09:00:00,872.6
2003-04-14 13:00:00,881.9
2003-04-14 17:00:00,886.6
2003-04-15 05:00:00,888.6
2003-04-15 09:00:00,887.3
2003-04-15 13:00:00,890.6
2003-04-15 17:00:00,894.6
2003-04-16 05:00:00,901.1
2003-04-16 09:00:00,898.8
2003-04-16 13:00:00,887.3
2003-04-16 17:00:00,880.1
2003-04-17 05:00:00,882.8
2003-04-17 09:00:00,881.0
2003-04-17 13:00:00,889.3
2003-04-17 17:00:00,893.1
2003-04-21 05:00:00,894.5
2003-04-21 09:00:00,893.5
2003-04-21 13:00:00,891.5
2003-04-21 17:00:00,894.0
2003-04-22 05:00:00,891.5
2003-04-22 09:00:00,889.5
2003-04-22 13:00:00,904.5
2003-04-22 17:00:00,911.5
2003-04-23 05:00:00,912.7
2003-04-23 09:00:00,912.0
2003-04-23 13:00:00,919.7
2003-04-23 17:00:00,919.0
2003-04-24 05:00:00,916.0
2003-04-24 09:00:00,913.2
2003-04-24 13:00:00,910.2
2003-04-24 17:00:00,910.7
2003-04-25 05:00:00,908.7
2003-04-25 09:00:00,911.2
2003-04-25 13:00:00,899.9
2003-04-25 17:00:00,899.2
2003-04-28 05:00:00,901.1
2003-04-28 09:00:00,902.6
2003-04-28 13:00:00,914.1
2003-04-28 17:00:00,914.6
2003-04-29 05:00:00,917.4
2003-04-29 09:00:00,917.6
2003-04-29 13:00:00,914.9
2003-04-29 17:00:00,917.9
2003-04-30 05:00:00,916.6
2003-04-30 09:00:00,915.1
2003-04-30 13:00:00,917.4
2003-04-30 17:00:00,916.9
2003-05-01 05:00:00,914.4
2003-05-01 09:00:00,913.9
2003-05-01 13:00:00,905.8
2003-05-02 05:00:00,916.8
2003-05-02 09:00:00,915.3
2003-05-02 13:00:00,926.1
2003-05-02 17:00:00,928.3
2003-05-05 05:00:00,932.5
2003-05-05 09:00:00,932.8
2003-05-05 13:00:00,929.8
2003-05-05 17:00:00,927.3
2003-05-06 05:00:00,928.3
2003-05-06 09:00:00,927.5
2003-05-06 13:00:00,936.5
2003-05-06 17:00:00,935.0
2003-05-07 05:00:00,932.5
2003-05-07 09:00:00,932.3
2003-05-07 13:00:00,934.3
2003-05-07 17:00:00,930.3
2003-05-08 05:00:00,927.0
2003-05-08 09:00:00,923.5
2003-05-08 13:00:00,921.7
2003-05-08 17:00:00,921.5
2003-05-09 05:00:00,921.0
2003-05-09 09:00:00,924.2
2003-05-09 13:00:00,932.7
2003-05-09 17:00:00,933.2
2003-05-12 05:00:00,932.4
2003-05-12 09:00:00,931.4
2003-05-12 13:00:00,944.4
2003-05-12 17:00:00,944.9
2003-05-13 05:00:00,941.2
2003-05-13 09:00:00,940.9
2003-05-13 13:00:00,946.7
2003-05-13 17:00:00,943.9
2003-05-14 05:00:00,943.6
2003-05-14 09:00:00,946.9
2003-05-14 13:00:00,939.1
2003-05-14 17:00:00,941.4
2003-05-15 05:00:00,938.9
2003-05-15 09:00:00,944.9
2003-05-15 13:00:00,942.6
2003-05-15 17:00:00,947.1
2003-05-16 05:00:00,947.4
2003-05-16 09:00:00,943.6
2003-05-16 13:00:00,944.9
2003-05-16 17:00:00,944.4
2003-05-19 05:00:00,936.3
