date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
29/09/2003 09:00,1000,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
29/09/2003 13:00,1004.5,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
29/09/2003 17:00,1005.5,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
29/09/2003 21:00,1005.7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 01:00,1006.2,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 05:00,1003.2,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 09:00,1002.2,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 13:00,997.2,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 17:00,996.2,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
30/09/2003 21:00,997.7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
01/10/2003 01:00,998.7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
01/10/2003 05:00,998.4,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0
01/10/2003 09:00,999.7,1001.27,1001.27,1001.27,1001.27,1001.27,1001.27,-0.818881,1,0,12,0,12,1,0,847053838
01/10/2003 13:00,1009.2,1001.66,1001.66,1001.66,1001.66,1001.66,1001.66,-0.366783,1,0,12,0,12,1,0,268437501
01/10/2003 17:00,1017.4,1002.65,1002.65,1002.65,1002.65,1002.65,1002.65,0.413287,1,0,12,0,12,1,0,0
01/10/2003 21:00,1017.2,1003.61,1003.61,1003.61,1003.61,1003.61,1003.61,1.11154,1,0,12,0,12,1,0,1610612736
02/10/2003 01:00,1017.4,1004.54,1004.54,1004.54,1004.54,1004.54,1004.54,1.75979,1,0,12,0,12,1,0,-1985281934
02/10/2003 05:00,1016.2,1005.62,1005.62,1005.62,1005.62,1005.62,1005.62,2.1472,1,0,12,0,12,1,0,-1
02/10/2003 09:00,1017.4,1006.89,1006.89,1006.89,1006.89,1006.89,1006.89,2.44441,1,0,12,0,12,1,0,-1915702272
02/10/2003 13:00,1017.4,1008.57,1008.57,1008.57,1008.57,1008.57,1008.57,2.40804,1,0,12,0,12,1,0,32767
02/10/2003 17:00,1021.4,1010.67,1010.67,1010.67,1010.67,1010.67,1010.67,2.33881,1,0,12,0,12,1,0,667960288
02/10/2003 21:00,1021.2,1012.63,1012.63,1012.63,1012.63,1012.63,1012.63,2.15385,1,0,12,0,12,1,0,32723
03/10/2003 01:00,1020.7,1014.47,1014.47,1014.47,1014.47,1014.47,1014.47,1.83077,1,0,12,0,12,1,0,0
03/10/2003 05:00,1020.2,1016.28,1016.28,1016.28,1016.28,1016.28,1016.28,1.32098,1,0,12,0,12,1,0,0
03/10/2003 09:00,1034.4,1019.18,1019.18,1019.18,1019.18,1019.18,1019.18,1.26399,1,0,12,0,12,1,0,0
03/10/2003 13:00,1038.7,1021.63,1021.63,1021.63,1021.63,1021.63,1021.63,1.56154,1,0,12,0,12,1,0,0
03/10/2003 17:00,1030.2,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,1.6986,1,0,12,0,12,1,0,0
05/10/2003 21:00,1028.6,1023.65,1023.65,1023.65,1023.65,1023.65,1023.65,1.67552,1,0,12,0,12,1,0,0
06/10/2003 01:00,1029.1,1024.63,1024.63,1024.63,1024.63,1024.63,1024.63,1.60105,1,0,12,0,12,1,0,0
06/10/2003 05:00,1031.1,1025.87,1025.87,1025.87,1025.87,1025.87,1025.87,1.46713,1,0,12,0,12,1,0,0
06/10/2003 09:00,1031.6,1027.05,1027.05,1027.05,1027.05,1027.05,1027.05,1.3028,1,0,12,0,12,1,0,0
06/10/2003 13:00,1034.1,1028.44,1028.44,1028.44,1028.44,1028.44,1028.44,1.13531,1,0,12,0,12,1,0,0
06/10/2003 17:00,1036.4,1029.69,1029.69,1029.69,1029.69,1029.69,1029.69,1.12133,1,0,12,0,12,1,0,292
06/10/2003 21:00,1035.6,1030.89,1030.89,1030.89,1030.89,1030.89,1030.89,0.962587,1,0,12,0,12,1,0,0
07/10/2003 01:00,1034.8,1032.07,1032.07,1032.07,1032.07,1032.07,1032.07,0.64965,1,0,12,0,12,1,0,-2147479040
07/10/2003 05:00,1031.3,1032.99,1032.99,1032.99,1032.99,1032.99,1032.99,0.0807692,1,0,12,0,12,1,0,116
07/10/2003 09:00,1029.3,1032.57,1032.57,1032.57,1032.57,1032.57,1032.57,0.0027972,1,0,12,0,12,1,0,0
07/10/2003 13:00,1031.8,1031.99,1031.99,1031.99,1031.99,1031.99,1031.99,0.252098,1,0,12,0,12,1,0,2563
07/10/2003 17:00,1039.1,1032.73,1032.73,1032.73,1032.73,1032.73,1032.73,0.444056,1,0,12,0,12,1,0,0
07/10/2003 21:00,1037.8,1033.5,1033.5,1033.5,1033.5,1033.5,1033.5,0.451049,1,0,12,0,12,1,0,536870912
08/10/2003 01:00,1037.6,1034.21,1034.21,1034.21,1034.21,1034.21,1034.21,0.408741,1,0,12,0,12,1,0,1
08/10/2003 05:00,1038.6,1034.83,1034.83,1034.83,1034.83,1034.83,1034.83,0.436364,1,0,12,0,12,1,0,0
08/10/2003 09:00,1039.8,1035.52,1035.52,1035.52,1035.52,1035.52,1035.52,0.48042,1,0,12,0,12,1,0,0
08/10/2003 13:00,1035.8,1035.66,1035.66,1035.66,1035.66,1035.66,1035.66,0.426923,1,0,12,0,12,1,0,0
08/10/2003 17:00,1035.6,1035.59,1035.59,1035.59,1035.59,1035.59,1035.59,0.458392,1,0,12,0,12,1,0,1079529539
08/10/2003 21:00,1036.8,1035.69,1035.69,1035.69,1035.69,1035.69,1035.69,0.505245,1,0,12,0,12,1,0,5
09/10/2003 01:00,1036.8,1035.86,1035.86,1035.86,1035.86,1035.86,1035.86,0.507343,1,0,12,0,12,1,0,61440
09/10/2003 05:00,1036.8,1036.32,1036.32,1036.32,1036.32,1036.32,1036.32,0.336364,1,0,12,0,12,1,0,60
09/10/2003 09:00,1044.1,1037.55,1037.55,1037.55,1037.55,1037.55,1037.55,0.316783,1,0,12,0,12,1,0,3
09/10/2003 13:00,1046.1,1038.74,1038.74,1038.74,1038.74,1038.74,1038.74,0.384266,1,0,12,0,12,1,0,1600349554
09/10/2003 17:00,1039,1038.73,1038.73,1038.73,1038.73,1038.73,1038.73,0.41049,1,0,12,0,12,1,0,1667594341
09/10/2003 21:00,1039,1038.83,1038.83,1038.83,1038.83,1038.83,1038.83,0.378322,1,0,12,0,12,1,0,7630435
10/10/2003 01:00,1040,1039.03,1039.03,1039.03,1039.03,1039.03,1039.03,0.367133,1,0,12,0,12,1,0,16384
10/10/2003 05:00,1042,1039.32,1039.32,1039.32,1039.32,1039.32,1039.32,0.461538,1,0,12,0,12,1,0,59037
10/10/2003 09:00,1039.5,1039.29,1039.29,1039.29,1039.29,1039.29,1039.29,0.490559,1,0,12,0,12,1,0,0
10/10/2003 13:00,1037.8,1039.46,1039.46,1039.46,1039.46,1039.46,1039.46,0.274476,1,0,12,0,12,1,0,1601267058
10/10/2003 17:00,1042.5,1040.03,1040.03,1040.03,1040.03,1040.03,1040.03,0.216084,1,0,12,0,12,1,0,6580592
12/10/2003 21:00,1042,1040.47,1040.47,1040.47,1040.47,1040.47,1040.47,0.144755,1,0,12,0,12,1,0,16384
13/10/2003 01:00,1042.5,1040.94,1040.94,1040.94,1040.94,1040.94,1040.94,0.0562937,1,0,12,0,12,1,0,22972
13/10/2003 05:00,1045.7,1041.68,1041.68,1041.68,1041.68,1041.68,1041.68,0.051049,1,0,12,0,12,1,0,0
13/10/2003 09:00,1045.5,1041.8,1041.8,1041.8,1041.8,1041.8,1041.8,0.307692,1,0,12,0,12,1,0,1953656688
13/10/2003 13:00,1046,1041.79,1041.79,1041.79,1041.79,1041.79,1041.79,0.664685,1,0,12,0,12,1,0,0
13/10/2003 17:00,1045.7,1042.35,1042.35,1042.35,1042.35,1042.35,1042.35,0.688112,1,0,12,0,12,1,0,53248
13/10/2003 21:00,1047.5,1043.06,1043.06,1043.06,1043.06,1043.06,1043.06,0.733916,1,0,12,0,12,1,0,0
14/10/2003 01:00,1048.2,1043.74,1043.74,1043.74,1043.74,1043.74,1043.74,0.792657,1,0,12,0,12,1,0,52
14/10/2003 05:00,1046,1044.08,1044.08,1044.08,1044.08,1044.08,1044.08,0.80035,1,0,12,0,12,1,0,0
14/10/2003 09:00,1046.5,1044.66,1044.66,1044.66,1044.66,1044.66,1044.66,0.685664,1,0,12,0,12,1,0,0
14/10/2003 13:00,1043.2,1045.11,1045.11,1045.11,1045.11,1045.11,1045.11,0.317832,1,0,12,0,12,1,0,0
14/10/2003 17:00,1049.7,1045.71,1045.71,1045.71,1045.71,1045.71,1045.71,0.375874,1,0,12,0,12,1,0,-1
14/10/2003 21:00,1050.5,1046.42,1046.42,1046.42,1046.42,1046.42,1046.42,0.391608,1,0,12,0,12,1,0,0
15/10/2003 01:00,1050,1047.04,1047.04,1047.04,1047.04,1047.04,1047.04,0.351399,1,0,12,0,12,1,0,0
15/10/2003 05:00,1050.5,1047.44,1047.44,1047.44,1047.44,1047.44,1047.44,0.423427,1,0,12,0,12,1,0,0
15/10/2003 09:00,1055.2,1048.25,1048.25,1048.25,1048.25,1048.25,1048.25,0.633566,1,0,12,0,12,1,0,0
15/10/2003 13:00,1049.9,1048.58,1048.58,1048.58,1048.58,1048.58,1048.58,0.594755,1,0,12,0,12,1,0,1
15/10/2003 17:00,1044.7,1048.49,1048.49,1048.49,1048.49,1048.49,1048.49,0.315035,1,0,12,0,12,1,0,100000
15/10/2003 21:00,1044.2,1048.22,1048.22,1048.22,1048.22,1048.22,1048.22,0.104895,1,0,12,0,12,1,0,1
16/10/2003 01:00,1045.4,1047.98,1047.98,1047.98,1047.98,1047.98,1047.98,-0.0041958,1,0,12,0,12,1,0,8
16/10/2003 05:00,1047.2,1048.08,1048.08,1048.08,1048.08,1048.08,1048.08,-0.124476,1,0,12,0,12,1,0,0
16/10/2003 09:00,1043.9,1047.87,1047.87,1047.87,1047.87,1047.87,1047.87,-0.357343,1,0,12,0,12,1,0,1701667182
16/10/2003 13:00,1052.7,1048.66,1048.66,1048.66,1048.66,1048.66,1048.66,-0.383566,1,0,12,0,12,1,0,0
16/10/2003 17:00,1049.2,1048.62,1048.62,1048.62,1048.62,1048.62,1048.62,-0.315385,1,0,12,0,12,1,0,36864
16/10/2003 21:00,1049.2,1048.51,1048.51,1048.51,1048.51,1048.51,1048.51,-0.207343,1,0,12,0,12,1,0,37
17/10/2003 01:00,1049.7,1048.48,1048.48,1048.48,1048.48,1048.48,1048.48,-0.0937063,1,0,12,0,12,1,0,778923875
17/10/2003 05:00,1048.2,1048.29,1048.29,1048.29,1048.29,1048.29,1048.29,-0.0129371,1,0,12,0,12,1,0,1819308129
17/10/2003 09:00,1050.2,1047.88,1047.88,1047.88,1047.88,1047.88,1047.88,0.374476,1,0,12,0,12,1,0,2037591653
17/10/2003 13:00,1042.9,1047.29,1047.29,1047.29,1047.29,1047.29,1047.29,0.275175,1,0,12,0,12,1,0,1835365491
17/10/2003 17:00,1039.1,1046.83,1046.83,1046.83,1046.83,1046.83,1046.83,-0.157692,1,0,12,0,12,1,0,1953459758
19/10/2003 21:00,1038.6,1046.36,1046.36,1046.36,1046.36,1046.36,1046.36,-0.593357,1,0,12,0,12,1,0,1667851881
20/10/2003 01:00,1040.1,1045.92,1045.92,1045.92,1045.92,1045.92,1045.92,-0.877622,1,0,12,0,12,1,0,1869182049
20/10/2003 05:00,1040.8,1045.38,1045.38,1045.38,1045.38,1045.38,1045.38,-1.01608,1,0,12,0,12,1,0,1701011310
20/10/2003 09:00,1041.1,1045.15,1045.15,1045.15,1045.15,1045.15,1045.15,-1.24825,1,0,12,0,12,1,0,1919251566
20/10/2003 13:00,1040.8,1044.16,1044.16,1044.16,1044.16,1044.16,1044.16,-1.07238,1,0,12,0,12,1,0,0
20/10/2003 17:00,1049.6,1044.19,1044.19,1044.19,1044.19,1044.19,1044.19,-0.633916,1,0,12,0,12,1,0,1701869940
20/10/2003 21:00,1048.8,1044.16,1044.16,1044.16,1044.16,1044.16,1044.16,-0.229021,1,0,12,0,12,1,0,0
21/10/2003 01:00,1048.3,1044.04,1044.04,1044.04,1044.04,1044.04,1044.04,0.182168,1,0,12,0,12,1,0,16384
21/10/2003 05:00,1048.3,1044.05,1044.05,1044.05,1044.05,1044.05,1044.05,0.534965,1,0,12,0,12,1,0,7
21/10/2003 09:00,1045.3,1043.64,1043.64,1043.64,1043.64,1043.64,1043.64,0.862587,1,0,12,0,12,1,0,0
21/10/2003 13:00,1047.8,1044.05,1044.05,1044.05,1044.05,1044.05,1044.05,0.988811,1,0,12,0,12,1,0,1735549300
21/10/2003 17:00,1045.3,1044.57,1044.57,1044.57,1044.57,1044.57,1044.57,0.811888,1,0,12,0,12,1,0,1768977509
21/10/2003 21:00,1042.8,1044.92,1044.92,1044.92,1044.92,1044.92,1044.92,0.472727,1,0,12,0,12,1,0,100
22/10/2003 01:00,1042.5,1045.12,1045.12,1045.12,1045.12,1045.12,1045.12,0.160839,1,0,12,0,12,1,0,12288
22/10/2003 05:00,1042.5,1045.26,1045.26,1045.26,1045.26,1045.26,1045.26,-0.136014,1,0,12,0,12,1,0,0
22/10/2003 09:00,1038.5,1045.04,1045.04,1045.04,1045.04,1045.04,1045.04,-0.584965,1,0,12,0,12,1,0,0
