date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss ,trail_stop_loss
30/09/2003 01:00,1006.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
30/09/2003 05:00,1003.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
30/09/2003 09:00,1002.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
30/09/2003 13:00,997.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
30/09/2003 17:00,996.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
30/09/2003 21:00,997.7,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 01:00,998.7,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 05:00,998.4,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 09:00,999.7,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 13:00,1009.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 17:00,1017.4,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
01/10/2003 21:00,1017.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
02/10/2003 01:00,1017.4,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
02/10/2003 05:00,1016.2,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
02/10/2003 09:00,1017.4,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0
02/10/2003 13:00,1017.4,1017.17,1016.03,1013.99,1012.26,1010.9,1009.7,1.70393,1,0,1000,0,1000,1,0,0,0
02/10/2003 17:00,1021.4,1017.83,1017.77,1016.7,1014.81,1013.17,1011.85,1.95357,1,0,1000,0,1000,1,0,0,0
02/10/2003 21:00,1021.2,1018.5,1018.31,1018.2,1017.2,1015.45,1013.9,2.10464,1,0,1000,0,1000,1,0,1342177280,0
