simulation_date,intial_date,final_date, initial_index, final_index, index_return, initial_porfolio, final_porfolio, portfolio_return,long_trades,good_long_trades,long_trades_profit,long_stop_loss,short_trades,good_short_trades,short_trades_profit,m_short_stop_loss, small_ma, medium_ma, large_ma, min_slope, sm_mode_up, small_ma, medium_ma, large_ma, min_slope, sm_mode_dn, slope_points, stop_loss
26/07/2021 11:45,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,6168.24,516.82%,1690,1023,4411.45,2,178,108,756.79,0,8,23,7,0.0034,4,8,23,7,0.0034,2,250,0.0717
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4766.34,376.63%,2,1,3766.34,1,0,0,0,0,11,11,12,0.0787,5,10,23,64,0.0261,0,303,0.0603
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4561.26,356.13%,3,1,3561.26,2,0,0,0,0,3,3,43,0.0655,5,22,18,52,0.0437,0,154,0.0614
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4461.64,346.16%,2,1,3461.64,1,0,0,0,0,7,7,13,0.0285,5,19,37,51,0.0465,0,465,0.0823
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4450.66,345.07%,5,1,3454.09,4,6,2,-3.43,5,22,35,22,0.0443,6,26,37,74,0.026,7,157,0.0285
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4408.81,340.88%,3,1,3379.03,2,24,13,29.78,5,6,32,6,0.0678,6,14,11,15,0.026,5,382,0.0521
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4370.22,337.02%,2,1,3385.68,1,13,3,-15.46,1,4,38,4,0.0701,6,12,30,6,0.0151,1,392,0.0833
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4367.18,336.72%,2,1,3406.55,1,8,4,-39.37,0,2,38,2,0.0695,6,18,45,41,0.0284,6,340,0.0887
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4303.79,330.38%,3,1,3293.1,2,6,3,10.68,2,29,31,29,0.025,6,6,23,71,0.0154,5,184,0.0799
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4281.87,328.19%,2,1,3281.87,1,0,0,0,0,10,39,10,0.0439,6,11,43,67,0.0454,0,257,0.0868
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4147.11,314.71%,4,1,3147.11,3,0,0,0,0,3,3,36,0.0573,5,16,45,61,0.0488,0,438,0.0476
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,4053.55,305.35%,4,1,3053.55,3,0,0,0,0,17,18,17,0.01,6,30,46,65,0.042,0,260,0.0658
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3902.69,290.27%,607,342,2950.26,10,45,21,-47.57,0,7,24,3,0.0719,5,24,13,20,0.0244,4,11,0.0753
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3817.71,281.77%,3,1,2958.88,2,5,0,-141.17,0,22,22,37,0.0245,5,6,49,41,0.0171,7,120,0.0669
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3797.02,279.70%,307,171,2797.02,4,0,0,0,0,9,36,4,0.0556,5,16,27,45,0.0206,0,335,0.0665
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3651.29,265.13%,4,1,2741.77,3,7,3,-90.48,3,18,18,41,0.043,5,28,14,23,0.0432,5,83,0.0717
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3644.96,264.50%,30,3,2786.73,29,61,14,-141.77,53,22,22,48,0.0906,5,13,17,31,0.0209,1,490,0.0018
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3361.95,236.20%,272,181,2361.95,5,0,0,0,0,30,39,3,0.0724,5,10,10,22,0.0328,6,113,0.0781
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3135.68,213.57%,316,228,2135.68,7,0,0,0,0,30,3,13,0.0831,6,3,5,74,0.0219,0,113,0.075
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3129.28,212.93%,388,268,2129.28,4,0,0,0,0,22,24,4,0.0718,5,11,44,80,0.0242,0,132,0.0818
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,3094.21,209.42%,280,137,2094.21,0,0,0,0,0,11,5,42,0.0185,6,14,36,18,0.0411,0,418,0.0967
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2983.08,198.31%,994,680,1983.08,68,0,0,0,0,10,7,24,0.077,7,9,37,42,0.0233,0,111,0.0174
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2812.85,181.29%,203,100,1533.69,1,234,118,279.16,1,2,21,44,0.0816,1,26,24,8,0.0273,7,395,0.0972
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2679.68,167.97%,200,119,1679.68,2,0,0,0,0,16,3,26,0.0083,1,26,7,32,0.0136,0,470,0.0653
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2668.19,166.82%,327,180,1668.19,12,0,0,0,0,9,29,20,0.0557,5,3,3,5,0.0234,3,16,0.0701
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2611.43,161.14%,400,270,1611.43,4,0,0,0,0,28,11,20,0.0113,4,23,3,12,0.0204,0,199,0.0833
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2576.26,157.63%,379,282,1925.2,6,44,15,-348.94,0,26,12,27,0.0636,7,29,36,58,0.0474,5,96,0.0854
