time,mid_c
20/06/2003 14:00,1000
20/06/2003 15:00,1000.5
20/06/2003 16:00,1000.5
20/06/2003 17:00,995.2
20/06/2003 18:00,997.5
20/06/2003 19:00,995.2
20/06/2003 20:00,993
23/06/2003 05:00,991.7
23/06/2003 06:00,992.9
23/06/2003 07:00,991.4
23/06/2003 08:00,992.4
23/06/2003 09:00,992.4
23/06/2003 10:00,993.2
23/06/2003 11:00,992.2
23/06/2003 12:00,992.2
23/06/2003 13:00,989.7
23/06/2003 14:00,983.7
23/06/2003 15:00,980.1
23/06/2003 16:00,979.9
23/06/2003 17:00,980.9
23/06/2003 18:00,978.4
23/06/2003 19:00,981.6
23/06/2003 20:00,982.9
24/06/2003 05:00,982.1
24/06/2003 06:00,982.6
24/06/2003 07:00,983.4
24/06/2003 08:00,981.9
24/06/2003 09:00,980.4
24/06/2003 10:00,981.9
24/06/2003 11:00,981.6
24/06/2003 12:00,982.6
24/06/2003 13:00,985.9
24/06/2003 14:00,981.6
24/06/2003 15:00,982.1
24/06/2003 16:00,984.6
24/06/2003 17:00,986.9
24/06/2003 18:00,984.6
24/06/2003 19:00,984.4
24/06/2003 20:00,982.9
25/06/2003 05:00,983.9
25/06/2003 06:00,984.6
25/06/2003 07:00,985.6
25/06/2003 08:00,984.6
25/06/2003 09:00,984.9
25/06/2003 10:00,984.1
25/06/2003 11:00,983.9
25/06/2003 12:00,983.4
25/06/2003 13:00,988.4
25/06/2003 14:00,990.1
25/06/2003 15:00,989.1
25/06/2003 16:00,990.6
25/06/2003 17:00,986.6
25/06/2003 18:00,986.4
25/06/2003 19:00,975.9
25/06/2003 20:00,972.4
26/06/2003 05:00,973.3
26/06/2003 06:00,973.6
26/06/2003 07:00,977.9
26/06/2003 08:00,977.4
26/06/2003 09:00,978.4
26/06/2003 10:00,976.3
26/06/2003 11:00,975.6
26/06/2003 12:00,974.6
26/06/2003 13:00,977.6
26/06/2003 14:00,978.1
26/06/2003 15:00,983.6
26/06/2003 16:00,981.9
26/06/2003 17:00,983.4
26/06/2003 18:00,985.9
26/06/2003 19:00,986.9
26/06/2003 20:00,984.9
27/06/2003 05:00,986.6
27/06/2003 06:00,986.9
27/06/2003 07:00,985.1
27/06/2003 08:00,984.8
27/06/2003 09:00,985.1
27/06/2003 10:00,986.3
27/06/2003 11:00,986.3
27/06/2003 12:00,986.1
27/06/2003 13:00,981.1
27/06/2003 14:00,989.1
27/06/2003 15:00,985.3
27/06/2003 16:00,985.6
27/06/2003 17:00,978.1
27/06/2003 18:00,978.8
27/06/2003 19:00,976.3
27/06/2003 20:00,974.6
30/06/2003 05:00,978.8
30/06/2003 06:00,978
30/06/2003 07:00,980
30/06/2003 08:00,979
30/06/2003 09:00,980.3
30/06/2003 10:00,979
30/06/2003 11:00,980.5
30/06/2003 12:00,980
30/06/2003 13:00,982
30/06/2003 14:00,978
30/06/2003 15:00,974.3
30/06/2003 16:00,978.3
30/06/2003 17:00,982.8
30/06/2003 18:00,979.5
30/06/2003 19:00,974
30/06/2003 20:00,974.8
01/07/2003 04:00,974
01/07/2003 05:00,974.8
01/07/2003 06:00,976
01/07/2003 07:00,975.5
01/07/2003 08:00,973.3
01/07/2003 09:00,974
01/07/2003 10:00,973.5
01/07/2003 11:00,973.3
01/07/2003 12:00,969.5
01/07/2003 13:00,969.5
01/07/2003 14:00,964.5
01/07/2003 15:00,967.5
01/07/2003 16:00,967.5
01/07/2003 17:00,971.5
01/07/2003 18:00,979.8
01/07/2003 19:00,982.5
01/07/2003 20:00,983.3
01/07/2003 21:00,982.8
01/07/2003 22:00,983.8
01/07/2003 23:00,984
02/07/2003 00:00,984
02/07/2003 01:00,984
02/07/2003 02:00,984.8
02/07/2003 04:00,984.8
02/07/2003 05:00,984.5
02/07/2003 06:00,985.3
02/07/2003 07:00,983.3
02/07/2003 08:00,986.3
02/07/2003 09:00,984.8
02/07/2003 10:00,987
02/07/2003 11:00,986.5
02/07/2003 12:00,984.5
02/07/2003 13:00,989
02/07/2003 14:00,988.3
02/07/2003 15:00,989
02/07/2003 16:00,991
02/07/2003 17:00,991.3
02/07/2003 18:00,992
02/07/2003 19:00,993.8
02/07/2003 20:00,995
02/07/2003 21:00,994.8
02/07/2003 22:00,994.8
02/07/2003 23:00,994.8
03/07/2003 00:00,994.5
03/07/2003 01:00,994.8
03/07/2003 02:00,994
03/07/2003 04:00,994
03/07/2003 05:00,993.2
03/07/2003 06:00,993.2
03/07/2003 07:00,993.2
03/07/2003 08:00,993
03/07/2003 09:00,991
03/07/2003 10:00,991.2
03/07/2003 11:00,990.5
03/07/2003 12:00,986.5
03/07/2003 13:00,989.7
03/07/2003 14:00,988.7
03/07/2003 15:00,991
03/07/2003 16:00,986
03/07/2003 17:00,983.7
06/07/2003 22:00,985.2
06/07/2003 23:00,986.9
07/07/2003 00:00,986.9
07/07/2003 01:00,987.2
07/07/2003 02:00,987.7
07/07/2003 03:00,987.7
07/07/2003 04:00,988.4
07/07/2003 05:00,988.9
07/07/2003 06:00,990.7
07/07/2003 07:00,993.4
07/07/2003 08:00,991.7
07/07/2003 09:00,993.7
07/07/2003 10:00,993.7
07/07/2003 11:00,993.9
07/07/2003 12:00,993.7
07/07/2003 13:00,1000.7
07/07/2003 14:00,1003.7
07/07/2003 15:00,1003.4
07/07/2003 16:00,1002.9
07/07/2003 17:00,1003.2
07/07/2003 18:00,1005.7
07/07/2003 19:00,1004.7
07/07/2003 20:00,1004.2
07/07/2003 21:00,1004.4
07/07/2003 22:00,1003.9
07/07/2003 23:00,1003.7
08/07/2003 00:00,1003.4
08/07/2003 01:00,1003.7
08/07/2003 02:00,1003.2
08/07/2003 04:00,1003.4
08/07/2003 05:00,1003.2
08/07/2003 06:00,1002.2
08/07/2003 07:00,1003.4
08/07/2003 08:00,1005.2
08/07/2003 09:00,1004.2
08/07/2003 10:00,1004.2
08/07/2003 11:00,1002.9
08/07/2003 12:00,1000.9
08/07/2003 13:00,1001.4
08/07/2003 14:00,1005.7
08/07/2003 15:00,1005.9
08/07/2003 16:00,1004.7
08/07/2003 17:00,1003.1
08/07/2003 18:00,1005.4
08/07/2003 19:00,1008.2
08/07/2003 20:00,1008.2
08/07/2003 21:00,1007.7
08/07/2003 22:00,1007.9
08/07/2003 23:00,1008.1
09/07/2003 00:00,1007.6
09/07/2003 01:00,1007.1
09/07/2003 02:00,1007.1
09/07/2003 04:00,1007.1
09/07/2003 05:00,1007.1
09/07/2003 06:00,1006.6
09/07/2003 07:00,1006.6
09/07/2003 08:00,1005.4
09/07/2003 09:00,1005.4
09/07/2003 10:00,1006.6
09/07/2003 11:00,1005.1
09/07/2003 12:00,1005.9
09/07/2003 13:00,1006.6
09/07/2003 14:00,1001.9
09/07/2003 15:00,1001.1
09/07/2003 16:00,1001.4
09/07/2003 17:00,1001.9
09/07/2003 18:00,1004.6
09/07/2003 19:00,1002.9
09/07/2003 20:00,1000.1
09/07/2003 21:00,999.9
09/07/2003 22:00,999.9
09/07/2003 23:00,1000.4
10/07/2003 00:00,1000.1
10/07/2003 01:00,1000.1
10/07/2003 02:00,1000.4
10/07/2003 04:00,1000.6
10/07/2003 05:00,1000.9
10/07/2003 06:00,999.6
10/07/2003 07:00,998.9
10/07/2003 08:00,999.6
10/07/2003 09:00,1000.1
10/07/2003 10:00,999.1
10/07/2003 11:00,997.9
10/07/2003 12:00,995.6
10/07/2003 13:00,994.4
10/07/2003 14:00,992.1
10/07/2003 15:00,987.1
10/07/2003 16:00,985.6
10/07/2003 17:00,986.6
10/07/2003 18:00,985.1
10/07/2003 19:00,988.8
10/07/2003 20:00,989.8
10/07/2003 21:00,989.1
10/07/2003 22:00,989.6
10/07/2003 23:00,989.6
11/07/2003 00:00,988.3
11/07/2003 01:00,988.1
11/07/2003 02:00,987.8
11/07/2003 04:00,987.6
11/07/2003 05:00,987.6
11/07/2003 06:00,986.8
11/07/2003 07:00,989.8
11/07/2003 08:00,992.6
11/07/2003 09:00,992.3
11/07/2003 10:00,989.8
11/07/2003 11:00,988.8
11/07/2003 12:00,991.6
11/07/2003 13:00,996.1
11/07/2003 14:00,997.6
11/07/2003 15:00,1000.1
11/07/2003 16:00,998.6
11/07/2003 17:00,999.1
11/07/2003 18:00,993.8
11/07/2003 19:00,998.1
11/07/2003 20:00,999.3
13/07/2003 22:00,999.8
13/07/2003 23:00,1000.5
14/07/2003 00:00,1000.8
14/07/2003 01:00,1000.3
14/07/2003 02:00,1000.5
14/07/2003 03:00,1002.3
14/07/2003 04:00,1003.5
14/07/2003 05:00,1003.3
14/07/2003 06:00,1004
14/07/2003 07:00,1003.5
14/07/2003 08:00,1002.5
14/07/2003 09:00,1002.5
14/07/2003 10:00,1003.5
14/07/2003 11:00,1006.8
