time,mid_c
21/03/2003 18:00,895.3
24/03/2003 06:00,879.4
24/03/2003 10:00,877.9
24/03/2003 14:00,867.9
24/03/2003 18:00,864.4
25/03/2003 06:00,860.9
25/03/2003 10:00,864.4
25/03/2003 14:00,878.2
25/03/2003 18:00,874.2
26/03/2003 06:00,874.4
26/03/2003 10:00,873.4
26/03/2003 14:00,873.1
26/03/2003 18:00,869.6
27/03/2003 06:00,863.6
27/03/2003 10:00,861.4
27/03/2003 14:00,869.4
27/03/2003 18:00,868.9
28/03/2003 06:00,865.4
28/03/2003 10:00,863.6
28/03/2003 14:00,864.6
28/03/2003 18:00,863.9
31/03/2003 06:00,851.8
31/03/2003 10:00,851
31/03/2003 14:00,851.8
31/03/2003 18:00,845.5
01/04/2003 06:00,849.8
01/04/2003 10:00,852
01/04/2003 14:00,858.8
01/04/2003 18:00,858.8
02/04/2003 06:00,865.3
02/04/2003 10:00,871.8
02/04/2003 14:00,881.8
02/04/2003 18:00,879.3
03/04/2003 06:00,885.8
03/04/2003 10:00,887.8
03/04/2003 14:00,879.3
03/04/2003 18:00,874.8
04/04/2003 06:00,877
04/04/2003 10:00,883.3
04/04/2003 14:00,877.8
04/04/2003 18:00,879.8
07/04/2003 05:00,901.8
07/04/2003 09:00,900.5
07/04/2003 13:00,897
07/04/2003 17:00,877.7
08/04/2003 05:00,882
08/04/2003 09:00,882.5
08/04/2003 13:00,881.5
08/04/2003 17:00,879.4
09/04/2003 05:00,873.4
09/04/2003 09:00,878.2
09/04/2003 13:00,870.2
09/04/2003 17:00,867.7
10/04/2003 05:00,868.1
10/04/2003 09:00,869.4
10/04/2003 13:00,868.4
10/04/2003 17:00,873.1
11/04/2003 05:00,873.6
11/04/2003 09:00,880.9
11/04/2003 13:00,869.9
11/04/2003 17:00,869.6
14/04/2003 05:00,871.3
14/04/2003 09:00,872.6
14/04/2003 13:00,881.9
14/04/2003 17:00,886.6
15/04/2003 05:00,888.6
15/04/2003 09:00,887.3
15/04/2003 13:00,890.6
15/04/2003 17:00,894.6
16/04/2003 05:00,901.1
16/04/2003 09:00,898.8
16/04/2003 13:00,887.3
16/04/2003 17:00,880.1
17/04/2003 05:00,882.8
17/04/2003 09:00,881
17/04/2003 13:00,889.3
17/04/2003 17:00,893.1
21/04/2003 05:00,894.5
21/04/2003 09:00,893.5
21/04/2003 13:00,891.5
21/04/2003 17:00,894
22/04/2003 05:00,891.5
22/04/2003 09:00,889.5
22/04/2003 13:00,904.5
22/04/2003 17:00,911.5
23/04/2003 05:00,912.7
23/04/2003 09:00,912
23/04/2003 13:00,919.7
23/04/2003 17:00,919
24/04/2003 05:00,916
24/04/2003 09:00,913.2
24/04/2003 13:00,910.2
24/04/2003 17:00,910.7
25/04/2003 05:00,908.7
25/04/2003 09:00,911.2
25/04/2003 13:00,899.9
25/04/2003 17:00,899.2
28/04/2003 05:00,901.1
28/04/2003 09:00,902.6
28/04/2003 13:00,914.1
28/04/2003 17:00,914.6
29/04/2003 05:00,917.4
29/04/2003 09:00,917.6
29/04/2003 13:00,914.9
29/04/2003 17:00,917.9
30/04/2003 05:00,916.6
30/04/2003 09:00,915.1
30/04/2003 13:00,917.4
30/04/2003 17:00,916.9
01/05/2003 05:00,914.4
01/05/2003 09:00,913.9
01/05/2003 13:00,905.8
02/05/2003 05:00,916.8
02/05/2003 09:00,915.3
02/05/2003 13:00,926.1
02/05/2003 17:00,928.3
05/05/2003 05:00,932.5
05/05/2003 09:00,932.8
05/05/2003 13:00,929.8
05/05/2003 17:00,927.3
06/05/2003 05:00,928.3
06/05/2003 09:00,927.5
06/05/2003 13:00,936.5
06/05/2003 17:00,935
07/05/2003 05:00,932.5
07/05/2003 09:00,932.3
07/05/2003 13:00,934.3
07/05/2003 17:00,930.3
08/05/2003 05:00,927
08/05/2003 09:00,923.5
08/05/2003 13:00,921.7
08/05/2003 17:00,921.5
09/05/2003 05:00,921
09/05/2003 09:00,924.2
09/05/2003 13:00,932.7
09/05/2003 17:00,933.2
12/05/2003 05:00,932.4
12/05/2003 09:00,931.4
12/05/2003 13:00,944.4
12/05/2003 17:00,944.9
13/05/2003 05:00,941.2
13/05/2003 09:00,940.9
13/05/2003 13:00,946.7
13/05/2003 17:00,943.9
14/05/2003 05:00,943.6
14/05/2003 09:00,946.9
14/05/2003 13:00,939.1
14/05/2003 17:00,941.4
15/05/2003 05:00,938.9
15/05/2003 09:00,944.9
15/05/2003 13:00,942.6
15/05/2003 17:00,947.1
16/05/2003 05:00,947.4
16/05/2003 09:00,943.6
16/05/2003 13:00,944.9
16/05/2003 17:00,944.4
19/05/2003 05:00,936.3
19/05/2003 09:00,938.6
19/05/2003 13:00,924
19/05/2003 17:00,922.3
20/05/2003 05:00,922.8
20/05/2003 09:00,924.5
20/05/2003 13:00,923.5
20/05/2003 17:00,920
21/05/2003 05:00,918.3
21/05/2003 09:00,916.5
21/05/2003 13:00,923.3
21/05/2003 17:00,922.5
22/05/2003 05:00,925.3
22/05/2003 09:00,925.3
22/05/2003 13:00,931.3
22/05/2003 17:00,931.3
23/05/2003 05:00,931.5
23/05/2003 09:00,930.5
23/05/2003 13:00,934
23/05/2003 17:00,933
26/05/2003 05:00,934.4
26/05/2003 09:00,934.7
26/05/2003 13:00,935.4
27/05/2003 05:00,928.7
27/05/2003 09:00,927.7
27/05/2003 13:00,945.4
27/05/2003 17:00,949.7
28/05/2003 05:00,954.9
28/05/2003 09:00,953.9
28/05/2003 13:00,954.7
28/05/2003 17:00,952.1
29/05/2003 05:00,954.9
29/05/2003 09:00,955.4
29/05/2003 13:00,955.6
29/05/2003 17:00,949.4
30/05/2003 05:00,953.4
30/05/2003 09:00,953.4
30/05/2003 13:00,962.4
30/05/2003 17:00,965.4
02/06/2003 05:00,968.6
02/06/2003 09:00,971.3
02/06/2003 13:00,976.1
02/06/2003 17:00,968.8
03/06/2003 05:00,965.6
03/06/2003 09:00,967.8
03/06/2003 13:00,968.3
03/06/2003 17:00,972.5
04/06/2003 05:00,973
04/06/2003 09:00,972
04/06/2003 13:00,980.8
04/06/2003 17:00,986.8
05/06/2003 05:00,982.8
05/06/2003 09:00,980.8
05/06/2003 13:00,987.8
05/06/2003 17:00,991.5
06/06/2003 05:00,993.8
06/06/2003 09:00,999.3
06/06/2003 13:00,991.5
06/06/2003 17:00,988
09/06/2003 05:00,990
09/06/2003 09:00,981.7
09/06/2003 13:00,977.7
09/06/2003 17:00,977.7
10/06/2003 05:00,979.9
